Address,Family_size,Family_id,Status,client_id,collect_scheduled_date,Pickup_date,Title,Month,Day,Year,Special_Event,Day_of_week,weekend_or_weekday,age_group
T5C 1E8,6,1695130035510x822223160822795600,Active,1694115474357x134699341188431870,2023-09-07,2023-09-07,Abdulhalim's Hamper,9,7,2023,Mawlid al-Nabi,Thursday,Weekday,20-40
T5C 1E8,6,1695130035510x822223160822795600,Active,1694115474357x134699341188431870,2023-11-07,2023-11-07,Abdulhalim's Hamper,11,7,2023,Remembrance Day,Tuesday,Weekday,20-40
T5C 1E8,6,1695130035510x822223160822795600,Active,1694115474357x134699341188431870,2023-11-16,2023-11-16,Food Hamper pickup,11,16,2023,Remembrance Day,Thursday,Weekday,20-40
T5C 1E8,6,1695130035510x822223160822795600,Active,1694115474357x134699341188431870,2024-04-16,2024-04-17,Food Hamper pickup,4,17,2024,Eid al-Fitr,Wednesday,Weekday,20-40
T6W 0G6,5,1695130035707x891534858657611300,Active,1694547419532x515953499649605600,2023-09-12,2023-09-12,Sadek's Hamper,9,12,2023,Mawlid al-Nabi,Tuesday,Weekday,20-40
T6W 0G6,5,1695130035707x891534858657611300,Active,1694547419532x515953499649605600,2023-11-20,2023-11-20,Food Hamper,11,20,2023,Remembrance Day,Monday,Weekday,20-40
T6W 0G6,5,1695130035707x891534858657611300,Active,1694547419532x515953499649605600,2023-12-20,2023-12-20,Food Hamper,12,20,2023,Christmas Day,Wednesday,Weekday,20-40
T5X 2J3,6,1695130035733x896330019876458500,Active,1694618651284x189821317665259520,2023-09-25,2023-09-25,food hamper,9,25,2023,Mawlid al-Nabi,Monday,Weekday,20-40
T5X 2J3,6,1695130035733x896330019876458500,Active,1694618651284x189821317665259520,2023-10-19,2023-10-19,Food,10,19,2023,Halloween,Thursday,Weekday,20-40
T5X 2J3,6,1695130035733x896330019876458500,Active,1694618651284x189821317665259520,2023-11-20,2023-11-20,Food Hamper,11,20,2023,Remembrance Day,Monday,Weekday,20-40
T5X 2J3,6,1695130035733x896330019876458500,Active,1694618651284x189821317665259520,2023-12-20,2023-12-20,Food Hamper,12,20,2023,Christmas Day,Wednesday,Weekday,20-40
T5X 2J3,6,1695130035733x896330019876458500,Active,1694618651284x189821317665259520,2024-01-22,2024-01-22,Food Hamper,1,22,2024,New Year's Day,Monday,Weekday,20-40
T5X 2J3,6,1695130035733x896330019876458500,Active,1694618651284x189821317665259520,2024-03-22,2024-03-19,Food Hamper,3,19,2024,Ramadan,Tuesday,Weekday,20-40
T5X 2J3,6,1695130035733x896330019876458500,Active,1694618651284x189821317665259520,2024-04-22,2024-04-23,Food Hamper,4,23,2024,Eid al-Fitr,Tuesday,Weekday,20-40
T5X 2J3,6,1695130035733x896330019876458500,Active,1694618651284x189821317665259520,2024-05-22,2024-05-22,Food Hamper,5,22,2024,Laylat al-Qadr,Wednesday,Weekday,20-40
T5X 2J3,6,1695130035733x896330019876458500,Active,1694618651284x189821317665259520,2024-06-22,2024-06-19,Food Hamper,6,19,2024,Eid al-Adha,Wednesday,Weekday,20-40
T5X 2J3,6,1695130035733x896330019876458500,Active,1694618651284x189821317665259520,2024-07-19,2024-07-22,Food Hamper,7,22,2024,Islamic New Year,Monday,Weekday,20-40
T5X 2J3,6,1695130035733x896330019876458500,Active,1694618651284x189821317665259520,2024-08-19,2024-08-19,Food Hamper,8,19,2024,Hajj,Monday,Weekday,20-40
T5X 2J3,6,1695130035733x896330019876458500,Active,1694618651284x189821317665259520,2024-06-22,2024-06-19,Food Hamper,6,19,2024,Eid al-Adha,Wednesday,Weekday,20-40
T5Z 0N8,2,1695130035958x552163982250889900,Active,1694630813849x163939988692795400,2023-09-13,2023-09-13,food hamper,9,13,2023,Mawlid al-Nabi,Wednesday,Weekday,20-40
T5Z 0N8,2,1695130035958x552163982250889900,Active,1694630813849x163939988692795400,2023-10-13,2023-10-18,food hamper,10,18,2023,Halloween,Wednesday,Weekday,20-40
T5Y 2Z7,3,1695130035979x527032600596733800,Closed,1694706859040x976185037439631400,2023-09-14,2023-10-18,Food Hamper,10,18,2023,Halloween,Wednesday,Weekday,40-60
T5Y 2Z7,3,1695130035979x527032600596733800,Closed,1694706859040x976185037439631400,2023-10-14,2023-10-18,Food Hamper,10,18,2023,Halloween,Wednesday,Weekday,40-60
T5Y 2Z7,3,1695130035979x527032600596733800,Closed,1694706859040x976185037439631400,2023-11-14,2023-11-14,Food Hamper,11,14,2023,Remembrance Day,Tuesday,Weekday,40-60
T5Y 2Z7,3,1695130035979x527032600596733800,Closed,1694706859040x976185037439631400,2023-12-14,2023-12-14,Food Hamper,12,14,2023,Christmas Day,Thursday,Weekday,40-60
T5Y 2Z7,3,1695130035979x527032600596733800,Closed,1694706859040x976185037439631400,2024-02-14,2024-02-20,Food Hamper,2,20,2024,Family Day,Tuesday,Weekday,40-60
T5Y 2Z7,3,1695130035979x527032600596733800,Closed,1694706859040x976185037439631400,2024-03-14,2024-03-25,Food Hamper,3,25,2024,Ramadan,Monday,Weekday,40-60
T5Y 2Z7,3,1695130035979x527032600596733800,Closed,1694706859040x976185037439631400,2023-11-22,2023-11-22,food hamper,11,22,2023,Remembrance Day,Wednesday,Weekday,40-60
T5Y 2Z7,3,1695130035979x527032600596733800,Closed,1694706859040x976185037439631400,2023-12-27,2023-12-27,Food Hamper,12,27,2023,Christmas Day,Wednesday,Weekday,40-60
T5Y 2Z7,3,1695130035979x527032600596733800,Closed,1694706859040x976185037439631400,2024-05-27,2024-05-27,Food Hamper,5,27,2024,Laylat al-Qadr,Monday,Weekday,40-60
T5Y 2Z7,3,1695130035979x527032600596733800,Closed,1694706859040x976185037439631400,2024-05-27,2024-05-27,Food Hamper,5,27,2024,Laylat al-Qadr,Monday,Weekday,40-60
T5X 3R3,5,1695130035683x544517586045718600,Closed,1694713582252x652951100532457500,2023-09-14,2023-10-19,Food Hamper,10,19,2023,Halloween,Thursday,Weekday,20-40
T5X 3R3,5,1695130035683x544517586045718600,Closed,1694713582252x652951100532457500,2023-10-14,2023-10-19,Food Hamper,10,19,2023,Halloween,Thursday,Weekday,20-40
T5X 3R3,5,1695130035683x544517586045718600,Closed,1694713582252x652951100532457500,2023-11-21,2023-11-21,Food Hamper,11,21,2023,Remembrance Day,Tuesday,Weekday,20-40
T5X 3R3,5,1695130035683x544517586045718600,Closed,1694713582252x652951100532457500,2023-12-21,2023-12-21,Food Hamper,12,21,2023,Christmas Day,Thursday,Weekday,20-40
T5X 3R3,5,1695130035683x544517586045718600,Closed,1694713582252x652951100532457500,2024-01-22,2024-01-22,Food Hamper,1,22,2024,New Year's Day,Monday,Weekday,20-40
T5X 3R3,5,1695130035683x544517586045718600,Closed,1694713582252x652951100532457500,2024-02-22,2024-02-21,Food Hamper,2,21,2024,Family Day,Wednesday,Weekday,20-40
T5X 3R3,5,1695130035683x544517586045718600,Closed,1694713582252x652951100532457500,2024-03-22,2024-03-21,Food Hamper,3,21,2024,Ramadan,Thursday,Weekday,20-40
T5X 3R3,5,1695130035683x544517586045718600,Closed,1694713582252x652951100532457500,2024-04-22,2024-04-22,Food Hamper,4,22,2024,Eid al-Fitr,Monday,Weekday,20-40
T5Z 0L4,1,1695130035702x825994886960317300,Active,1694718589350x154128574245765120,2023-10-14,2023-10-18,Food Hamper,10,18,2023,Halloween,Wednesday,Weekday,20-40
T5Z 0L4,1,1695130035702x825994886960317300,Active,1694718589350x154128574245765120,2024-05-14,2024-05-14,Food Hamper,5,14,2024,Laylat al-Qadr,Tuesday,Weekday,20-40
T5E 2T2,6,1695130035652x949032949630633100,Active,1694722174454x145164872194195460,2023-09-14,2023-10-17,Food Hamper,10,17,2023,Halloween,Tuesday,Weekday,40-60
T5E 2T2,6,1695130035652x949032949630633100,Active,1694722174454x145164872194195460,2023-10-14,2023-10-17,Food Hamper,10,17,2023,Halloween,Tuesday,Weekday,40-60
T5E 2T2,6,1695130035652x949032949630633100,Active,1694722174454x145164872194195460,2023-12-18,2023-12-18,Food Hamper,12,18,2023,Christmas Day,Monday,Weekday,40-60
T5E 2W3,6,1695130035703x615158620333794800,Active,1694726565413x787450075941437400,2023-09-14,2023-10-17,Food Hamper,10,17,2023,Halloween,Tuesday,Weekday,20-40
T5E 2W3,6,1695130035703x615158620333794800,Active,1694726565413x787450075941437400,2023-10-14,2023-10-17,Food Hamper,10,17,2023,Halloween,Tuesday,Weekday,20-40
T5E 2W3,6,1695130035703x615158620333794800,Active,1694726565413x787450075941437400,2023-11-16,2023-11-16,Food Hamper pickup,11,16,2023,Remembrance Day,Thursday,Weekday,20-40
T5E 2W3,6,1695130035703x615158620333794800,Active,1694726565413x787450075941437400,2023-12-18,2023-12-18,Food Hamper,12,18,2023,Christmas Day,Monday,Weekday,20-40
T5X 3R3,9,1695130035848x673726934973977900,Closed,1695064066262x277189512630108160,2023-11-18,2023-11-21,food hamper,11,21,2023,Remembrance Day,Tuesday,Weekday,40-60
T5X 3R3,9,1695130035848x673726934973977900,Closed,1695064066262x277189512630108160,2023-12-18,2023-12-18,food hamper,12,18,2023,Christmas Day,Monday,Weekday,40-60
T5X 3R3,9,1695130035848x673726934973977900,Closed,1695064066262x277189512630108160,2023-12-21,2023-12-21,Food Hamper,12,21,2023,Christmas Day,Thursday,Weekday,40-60
T5X 3R3,9,1695130035848x673726934973977900,Closed,1695064066262x277189512630108160,2024-01-23,2024-01-23,Food Hamper,1,23,2024,New Year's Day,Tuesday,Weekday,40-60
T5X 3R3,9,1695130035848x673726934973977900,Closed,1695064066262x277189512630108160,2024-02-23,2024-02-28,Food Hamper,2,28,2024,Family Day,Wednesday,Weekday,40-60
T5X 3R3,9,1695130035848x673726934973977900,Closed,1695064066262x277189512630108160,2024-03-23,2024-03-28,Food Hamper,3,28,2024,Ramadan,Thursday,Weekday,40-60
T5X 3R3,9,1695130035848x673726934973977900,Closed,1695064066262x277189512630108160,2024-05-23,2024-05-08,Food Hamper,5,8,2024,Laylat al-Qadr,Wednesday,Weekday,40-60
